,nombre,direccion
113,DISTRIBUIDORA BICARG SA DE CV,BONANZA 16 nan 20 DE NOVIEMBRE VENUSTIANO CARRANZA 15300 CDMX
114,"IMPRESOS LITOPOLIS, SA DE CV",MARCELINO DAVALOS 30 nan ALGARIN CUAUHTEMOC 6880 CDMX
115,JC INGENIEROS CONSTRUCTORES E INSTALACIONES SA DE CV,PRIV PATRIOTISMO 3 nan ESCANDON I SECCION MIGUEL HIDALGO 11800 CDMX
116,SOUTER  SA DE CV,BLVD DE LAS NACIONES 108 nan VALLE DORADO TLALNEPANTLA DE BAZ 54020 Estado de Mexico
117,COMERCIALIZADORA NOVO REX  SA DE CV,HERMENEGILDO GALEANA #22 nan MARGARITA MAZA DE JU ATIZAPAN DE ZARAGOZA 52926 Estado de Mexico
118,PLALEM DISTRIBUIDORA SA DE CV,AV 5 DE MAYO 31 nan BARRIO TEPANQUIAHUAC TEOLOYUCAN 54770 Estado de Mexico
119,GLP ESTRATEGIAS AVANZADAS SA DE CV,TEYA 181 nan JARDINES DEL AJUSCO TLALPAN 14200 CDMX
120,TRANSFORMADORES ELECTRICOS CAMEFE  SA DE CV,TICUL 316 nan JARDINES DEL AJUSCO TLALPAN 14200 CDMX
121,CAJAS E IMPRESOS ROLEY  SA DE CV,MORELOS 555 A EL VERGEL IZTAPALAPA 9880 CDMX
122,CONSTRUCTORA URBANIZADORA MAGREG  SA DE CV,FRANCISCO COVARRUBIAS 28 nan EJIDAL CHALCO 56604 Estado de Mexico
123,INDUSTRIAS PLASTICASULTRALON  SA DE CV,AV 14 ORIENTE 2611 nan RESURGIMIENTO PUEBLA 72370 Puebla
124,CINTAS Y ETIQUETAS ESPINO SA DE CV,BOULEVARD MANUEL CABANAS PAVIA 9 B PARQUE INDUSTRIAL CI HUEJOTZINGO 74160 Puebla
125,CONSTRUTRANSPORTES SOLANA  SA DE CV,BLV CARLOS CAMACHO ESPIRITU 2423 nan TOTIMEHUACAN PUEBLA 72960 Puebla
126,HERMANOS CORTES DISTRIBUIDORA PAPELERA  SA DE CV,20 NTE 1006 nan LOS REMEDIOS PUEBLA 72377 Puebla
127,TEXTILES LA PERSEVERANCIA  SA DE CV,AV 4 PONIENTE 2113 8 CENTRO PUEBLA 72000 Puebla
128,SUMINISTROS INDUSTRIALES DE PUEBLA SA DE CV,52 PONIENTE 910 nan SANTA MARIA PUEBLA 72080 Puebla
129,SERVICIOS ESPECIALIZADOS SILVIANO JULIO  SA DE CV,7 OTE 1002 nan AMOZOC DE MOTA AMOZOC 72980 Puebla
130,BRICEJ GROUP  SA DE CV,PIRV#EMILIANO ZAPATA 140 A VISTA HERMOSA ALAMOS PUEBLA 72320 Puebla
131,CONFECCIONES DAB DE PUEBLA SA DE CV,MANUEL DOBLADO 71 nan XONACA PUEBLA 72280 Puebla
132,MANTENIMIENTO INDUSTRIAL TIZATL  SA DE CV,JUAN N MENDEZ 80 nan JOAQUIN COLOMBRES PUEBLA 72300 Puebla
133,LOAIZA Y ASOCIADOS SERVICIO DE GRUAS  SA DE CV,BANDERA LT 30 nan SAN DIEGO MANZANILLA PUEBLA 72229 Puebla
134,INGENIERIA Y ARQUITECTURA APLICADA CENTRO PUEBLA  SA DE CV,15 DE SEPTIEMBRE LT 376 nan GUADALUPE XONACATEPE PUEBLA 72229 Puebla
135,ASFALTOS TECNOLOGICOS DE MEXICO  SA DE CV,COBRE 6711 nan LA JOYA PUEBLA 72573 Puebla
136,TUBOS Y PLASTICOS DEMEXICO  SA DE CV,CALLE 18 OTE 2808 nan HUMBOLDT NORTE PUEBLA 72370 Puebla
137,BIO AGROVIA  SA DE CV,18 ORIENTE 3007 nan HUMBOLDT NORTE PUEBLA 72370 Puebla
138,MATERIAS PRIMAS ALIMENTICIAS EL TUCAN SA DE CV,48 NORTE 51 2 DIEZ DE MAYO PUEBLA 72270 Puebla
139,CORTE ESPECIALIZADO DE METAL  SA DE CV,ANTIGUO CAMINO RESURRECCION 10428 NAVE 38 PARQUE INDUSTRIAL RESURRECCION PUEBLA 72228 Puebla
140,GRUPO OCC  SA DE CV,CALLE 57 SUR 902 3 REFORMA SUR PUEBLA 72160 Puebla
141,TEMEM REFACCIONES Y REPARACIONES  SA DE CV,SOFIA GUTIERREZ POBLANO 11 A SAN FELIPE HUEYOTLIP PUEBLA 72030 Puebla
142,MONROY Y ASOCIADOS CONSTRUCTORES  SA DE CV,66 PONIENTE 901 B GUADALUPE VICTORIA PUEBLA 72230 Puebla
143,PEQ ESPECIALIDADES QUIMICAS  SA DE CV,RET ESGRIMA 4803 nan UNID MAGISTERIAL MEXICO 68 PUEBLA 72300 Puebla
144,PROVEEDORA GENERAL DE TORNILLOS  SA DE CV,BLV AVE JAVIER ROJO GOMEZ 433 nan AGRICOLA ORIENTAL IZTACALCO 8500 CDMX
145,"MARCAS DE PUEBLA, SA DE CV",24 SUR 5127 LOCLLANG LOS PILARES PUEBLA 72560 Puebla
146,CORPORATIVO SAVEK SA DE CV,35 PONIENTE 122 nan GABRIEL PASTOR 1A SECCION PUEBLA 72420 Puebla
147,SOLUCIONES ANVI  SA DE CV,BOULEVARD ATLIXCO 37 133 SAN JOSE VISTA HERMOSA PUEBLA 72190 Puebla
148,TRANSPORTADORA TURISTICA JURFAL  SA DE CV,PRIV 7 A SUR 2109 nan HEROES DE NACOZARI PUEBLA 72420 Puebla
149,CONSTRUCCIONES PREFABRICADOS Y MANTENIMIENTO DE PUEBLA SA CV,AV 25 PONIENTE 706 nan CHULAVISTA PUEBLA 72420 Puebla
150,DISTRIBUIDORA CUATROCIENEGAS  SA DE CV,5 SUR 2113 nan SANTA MARIA XIXITLA SAN PEDRO CHOLULA 72760 Puebla
151,CRISTO REY VELATORIOS  SA DE CV,11 SUR 3310 nan GABRIEL PASTOR PUEBLA 72420 Puebla
152,"QUIMARTEX, SA DE CV",SANTANDER 5304 nan COL LAS PALMAS PUEBLA 72550 Puebla
153,PERFUMES FINOS EL REGALO  SA DE CV,4 PONIENTE 101 nan PUEBLA# CENTRO PUEBLA 72000 Puebla
154,GRUPO CONSTRUCTOR ARIANA SA DE CV,LIRIOS 6370 nan BUGAMBILIAS PUEBLA 72580 Puebla
155,REMOLQUES Y PLATAFORMAS YURAME  SA DE CV,2 OTE 311 nan CENTRO TEPEACA 75200 Puebla
156,ALEX RAY  SA DE CV,14 SUR 4516 LC 21 COL SN MANUEL PUEBLA 72570 Puebla
157,"MARTIN Y OROZCO, SA DE CV",BLV 18 SUR 5520 nan JARDINES DE SAN MANU PUEBLA 72570 Puebla
158,CONCORDE GROUP SA DE CV,AV PERIFERICO ECOLOGICO 17 nan SAN LORENZO ALMECATL CUAUTLANCINGO 72710 Puebla
159,CORPORACION ECOENERGIZA  SA DE CV,C ASTURIAS 26 nan REAL DE MORILLOTLA SAN ANDRES CHOLULA 72815 Puebla
160,"REFACCIONARIA VEGA, SA DE CV",MORELOS 6115 nan EL PATRIMONIO PUEBLA 72450 Puebla
161,TELLEZ ONIX MARMOL DISEO  SA DE CV,25 DE AGOSTO 403 A CENTRO TECALI DE HERRERA 75240 Puebla
162,DOGO DE PUEBLA SA DE CV,ORIENTE 233 164 nan AGRICOLA ORIENTAL IZTACALCO 8500 CDMX
163,SUECOMEX S DE RL DE CV,23 SUR 2723 A LOS VOLCANES PUEBLA 72410 Puebla
164,INDUSTRIAS Y ALAMBRADOS MEXICANOS  SA DE CV  SA DE CV,CARR FED PUEBLA ATLIXCO KM 6 5 nan TLAXCALANCINGO SAN ANDRES CHOLULA 72820 Puebla
165,OBRA CIVIL Y CONSTRUCCION GEOTECNICA  SA DE CV,4 NTE 609 5 CERRITOS TEHUACAN 75731 Puebla
166,"ANDRESONS, SA DE CV",1ER RETORNO OSA MENOR 2 302 SAN ANDRES CHOLULA SAN ANDRES CHOLULA 72810 Puebla
167,VIRTUAL EDUCA  SA DE CV,TLAXCO 119 B LA PAZ PUEBLA 72160 Puebla
168,INMOFEL DIAMANTE S DE RL DE CV,PROLONGACION BOULEVARD MUNICIPIO LIBRE 1972 nan EXHACIENDA MAYORAZGO PUEBLA 72480 Puebla
169,"SYM LABORATORIOS, SA DE CV",CUE MERLO 431 nan SAN BALTAZAR CAMPECHE PUEBLA 72550 Puebla
170,4C INGENIERIA Y DESARROLLO  SA DE CV,BOULEVARD MUNICIPIO LIBRE 1972 24 EX#HACIENDA MAYORAZG PUEBLA 72480 Puebla
171,ABASTECEDORA INDUSTRIAL DE SERVICIOS INTEGRALES  SA DE CV,DEL BOSQUE 6127 nan EL PATRIMONIO PUEBLA 72450 Puebla
172,VIEDOS FUSION S DE RL DE CV,VIA ATLIXCAYOTL 4008 nan SANTA MARIA TONANTZINTLA SAN ANDRES CHOLULA 72840 Puebla
173,ETIROCH  SA DE CV,INDUSTRIA 236 A OCOTLAN CORONANGO 72680 Puebla
174,LAYTEL CONSULTORIA EN VOZ DATOS Y VIDEO  SA DE CV,7 SUR 3306 2 GABRIEL PASTOR 1A SE PUEBLA 72420 Puebla
175,MCASEPPI INDUSTRIAL  SA DE CV,GENERAL PEDRO HINOJOSA 78 nan HEROES DE PUEBLA PUEBLA 72520 Puebla
